na_item,unit,geo\time	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
B1GQ,CP_EUR_HAB,AL	3090 	3190 	3300 	3320 d	3450 	3560 	3730 	4020 	4480 	4820 	4680 p	: 
B1GQ,CP_EUR_HAB,AT	35390 	36970 	37820 	38210 	38990 	39890 	40920 	42000 	43610 	44780 	42540 	44970 
B1GQ,CP_EUR_HAB,BE	33330 	34060 	34770 	35210 	35950 	36960 	37960 	39130 	40260 	41630 	39560 p	43680 p
B1GQ,CP_EUR_HAB,BG	5080 	5640 	5780 	5790 	5960 	6380 	6840 	7420 	8000 	8820 	8840 	9850 p
B1GQ,CP_EUR_HAB,CH	58170 	65750 	67330 	66340 	67650 	76400 	75090 	73830 	73140 	76230 	76370 	78910 p
B1GQ,CP_EUR_HAB,CY	23400 	23270 	22500 	20880 	20450 	21100 	22230 	23550 	24840 	26090 	24240 p	26030 p
B1GQ,CP_EUR_HAB,CZ	15020 	15740 	15470 	15170 	15000 	16080 	16790 	18330 	19850 	21150 	20170 	22270 
B1GQ,CP_EUR_HAB,DE	31940 	33550 	34130 	34860 	36150 	37050 	38070 	39530 	40620 p	41800 p	40490 p	42920 p
B1GQ,CP_EUR_HAB,DK	43840 	44500 	45530 	46100 	47090 	48050 	49420 	51140 	52180 	53210 	53480 	57520 
B1GQ,CP_EUR_HAB,EA	28840 	29470 	29510 	29740 	30270 	31070 	31840 	32960 	33990 	35010 	33290 	35780 
B1GQ,CP_EUR_HAB,EA19	28460 	29180 	29230 	29480 	30110 	31070 	31840 	32960 	33990 	35010 	33290 	35780 
B1GQ,CP_EUR_HAB,EE	11060 	12540 	13520 	14320 	15240 	15710 	16530 	18120 	19570 	20930 	20190 	23060 
B1GQ,CP_EUR_HAB,EL	20150 b	18310 	17060 	16400 	16270 	16300 	16190 	16450 	16730 	17090 p	15440 p	17140 p
B1GQ,CP_EUR_HAB,ES	23040 	22760 	22050 	21900 	22220 	23220 	23980 	24970 	25750 	26420 p	23690 p	25460 p
B1GQ,CP_EUR_HAB,EU27_2020	24900 	25650 	25760 	26020 	26580 	27500 	28200 	29320 	30290 	31310 	29940 	32330 
B1GQ,CP_EUR_HAB,EU28	25520 	26220 	26690 	26870 	27750 	29180 	29340 	30150 	31090 	32160 	: 	: 
B1GQ,CP_EUR_HAB,FI	35080 	36750 	37130 	37570 	37880 	38570 	39580 	41080 	42320 	43440 	43030 	45370 
B1GQ,CP_EUR_HAB,FR	30690 	31510 	31820 	32080 	32420 	33020 	33430 	34230 	35040 	35970 p	33980 p	36660 p
B1GQ,CP_EUR_HAB,HR	10610 	10600 	10420 	10420 	10370 	10740 	11320 	12080 	12880 	13660 	12400 p	14710 e
B1GQ,CP_EUR_HAB,HU	9980 	10250 	10110 	10340 	10770 	11460 	11850 	12980 	13920 	14950 	14100 p	15870 p
B1GQ,CP_EUR_HAB,IE	36700 	37500 	38180 	38830 	41900 	55970 	56870 	61830 	67080 	72360 	74870 	83990 
B1GQ,CP_EUR_HAB,IS	32650 	34280 	35800 	37470 	41150 	47750 	56070 	63830 	63060 	61470 	51690 	57800 
B1GQ,CP_EUR_HAB,IT	26940 	27470 	26990 	26740 	26980 	27480 	28210 	28940 	29580 	30080 	27880 	30040 
B1GQ,CP_EUR_HAB,LI	: 	: 	: 	128380 	133180 	148440 	147270 	148690 	146100 	146620 p	136000 e	: 
B1GQ,CP_EUR_HAB,LT	9050 	10340 	11180 	11850 	12480 	12860 	13560 	14950 	16250 	17490 	17710 	19760 
B1GQ,CP_EUR_HAB,LU	83550 	85330 	87540 	90030 	92760 	95090 	96230 	97440 	99150 	100890 	101760 	114370 
B1GQ,CP_EUR_HAB,LV	8550 	9550 	10870 	11320 	11850 	12430 	12950 	13900 	15130 	16020 	15500 	17450 
B1GQ,CP_EUR_HAB,ME	5050 	5270 	5130 	5410 	5560 	5870 	6350 	6910 	7490 	7960 	6740 	: 
B1GQ,CP_EUR_HAB,MK	3460 e	3660 e	3680 e	3950 e	4140 e	4380 e	4660 e	4840 e	5170 e	: 	: 	: 
B1GQ,CP_EUR_HAB,MT	16440 	16630 	17530 	18650 	20120 	22450 	23130 	25490 	26700 	27830 	25330 	28220 
B1GQ,CP_EUR_HAB,NL	38470 	38960 	38970 	39300 	39820 	40730 	41590 	43090 	44920 	46880 	45670 p	48840 p
B1GQ,CP_EUR_HAB,NO	66220 	72350 	79000 	77440 	73180 	66980 	63690 	66950 	69710 	67640 	59130 	75360 
B1GQ,CP_EUR_HAB,PL	9400 	9860 	10070 	10190 	10630 	11190 	11110 	12170 	12960 	13900 	13730 	15050 
B1GQ,CP_EUR_HAB,PT	16990 	16680 	16010 	16300 	16640 	17350 	18060 	19020 	19950 	20840 	19430 p	20530 p
B1GQ,CP_EUR_HAB,RO	6200 	6540 	6620 	7190 	7570 	8080 	8630 	9580 	10500 	11520 	11360 p	12510 p
B1GQ,CP_EUR_HAB,RS	4330 	4900 	4680 	5080 	4970 	5040 	5210 	5590 	6140 	6620 	6780 	7780 p
B1GQ,CP_EUR_HAB,SE	39950 	43690 	45170 	46020 	45260 	46480 	46990 	47730 	46260 	46390 	46420 	51630 
B1GQ,CP_EUR_HAB,SI	17750 	18050 	17630 	17700 	18250 	18830 	19590 	20820 	22140 	23170 	22310 	24680 
B1GQ,CP_EUR_HAB,SK	12610 	13240 	13570 	13710 	14040 	14730 	14920 	15530 	16420 	17250 	16860 	17820 
B1GQ,CP_EUR_HAB,TR	8000 	8100 	9090 	9450 	9160 	9930 	9910 	9470 	8090 	8220 	7510 	: 
B1GQ,CP_EUR_HAB,UK	29830 	30230 	33140 	32700 	35780 	40620 	37080 	35730 	36440 	37830 	: 	: 
B1GQ,CP_MEUR,AL	8996.6 	9268.3 	9585.8 	9625.4 d	9968.6 	10264.1 	10719.9 	11559.0 	12828.1 	13754.2 	13283.3 p	15435.9 e
B1GQ,CP_MEUR,AT	295896.6 	310128.7 	318653.0 	323910.2 	333146.1 	344269.2 	357608.0 	369361.9 	385424.0 	397518.5 	379320.6 	402710.9 
B1GQ,CP_MEUR,BA	12968.9 	13411.8 	13407.5 	13691.8 	13988.3 	14617.4 	15289.9 	16042.4 	17099.7 	18046.4 	17514.3 	19083.7 
B1GQ,CP_MEUR,BE	363140.1 	375967.8 	386174.7 	392880.0 	403003.3 	416701.4 	430085.3 	445050.1 	460091.7 	478238.9 	456731.5 p	506205.0 p
B1GQ,CP_MEUR,BG	38284.9 	41478.9 	42256.8 	42050.2 	43026.0 	45812.3 	48773.1 	52531.3 	56224.7 	61558.0 	61331.0 	67872.1 p
B1GQ,CP_MEUR,CH	455933.7 	520201.4 	538439.0 	536632.9 	553942.2 	632770.5 	628729.6 	623994.0 	622746.0 	653732.6 	659730.8 	687110.4 
B1GQ,CP_MEUR,CY	19410.0 	19803.0 	19440.8 	17995.0 	17430.2 	17884.0 	18929.3 	20245.3 	21612.6 	23009.9 	21617.9 p	23436.7 p
B1GQ,CP_MEUR,CZ	157920.8 	165202.2 	162587.5 	159461.5 	157821.3 	169558.2 	177438.5 	194132.9 	210970.5 	225613.5 	215805.4 	238238.2 
B1GQ,CP_MEUR,DE	2564400.0 	2693560.0 	2745310.0 	2811350.0 	2927430.0 	3026180.0 	3134740.0 	3267160.0 	3367860.0 p	3473350.0 p	3367560.0 p	3570620.0 p
B1GQ,CP_MEUR,DK	243165.4 	247879.9 	254578.0 	258742.7 	265757.0 	273017.6 	283109.7 	294808.2 	302328.7 	309526.4 	311759.7 	336718.8 
B1GQ,CP_MEUR,EA	9472471.8 	9746253.0 	9781453.7 	9877616.6 	10131962.0 	10522115.7 	10816231.2 	11222400.2 	11600281.4 	11984254.8 	11413063.2 	12269682.9 
B1GQ,CP_MEUR,EA19	9533184.3 	9797236.2 	9836961.4 	9935447.4 	10168543.3 	10522115.7 	10816231.2 	11222400.2 	11600281.4 	11984254.8 	11413063.2 	12269682.9 
B1GQ,CP_MEUR,EE	14741.1 	16677.3 	17916.7 	18910.8 	20048.2 	20631.4 	21747.9 	23833.6 	25817.7 	27732.3 	26834.5 	30660.1 
B1GQ,CP_MEUR,EL	224124.0 b	203308.2 	188380.6 	179884.4 	177236.0 	176368.9 	174494.2 	176903.4 	179557.7 	183250.4 p	165326.4 p	182830.2 p
B1GQ,CP_MEUR,ES	1072709.0 	1063763.0 	1031099.0 	1020348.0 	1032158.0 	1077590.0 	1113840.0 	1161867.0 	1203259.0 	1244375.0 p	1121948.0 p	1205063.0 p
B1GQ,CP_MEUR,EU27_2020	10980305.7 	11323915.6 	11391843.8 	11520159.1 	11783874.3 	12214624.0 	12552499.9 	13076032.1 	13531537.0 	14017173.6 	13415653.8 	14475667.7 
B1GQ,CP_MEUR,EU28	12852481.2 	13236784.9 	13502872.7 	13616497.1 	14094954.5 	14859340.4 	14986619.1 	15435822.0 	15952434.2 	16543788.8 	: 	: 
B1GQ,CP_MEUR,FI	188143.0 	197998.0 	201037.0 	204321.0 	206897.0 	211385.0 	217518.0 	226301.0 	233462.0 	239858.0 	237987.0 	251431.0 
B1GQ,CP_MEUR,FR	1995289.0 	2058369.0 	2088804.0 	2117189.0 	2149765.0 	2198432.0 	2234129.0 	2297242.0 	2363306.0 	2437635.0 p	2310469.0 p	2500870.0 
B1GQ,CP_MEUR,HR	45578.0 	45378.6 	44483.6 	44329.4 	43918.6 	45186.2 	47246.3 	49888.8 	52688.8 	55571.4 	50188.5 p	57199.5 p
B1GQ,CP_MEUR,HU	99813.8 	102193.5 	100281.2 	102276.1 	106297.8 	112823.6 	116279.4 	127046.0 	136073.4 	146113.2 	137441.6 	154124.4 p
B1GQ,CP_MEUR,IE	167363.1 	171683.4 	175512.8 	179411.2 	194933.8 	262800.0 	270058.1 	296925.2 	326042.8 	356526.3 	372868.5 	421529.2 
B1GQ,CP_MEUR,IS	10383.4 	10934.3 	11479.9 	12132.9 	13472.6 	15795.3 	18804.2 	21917.7 	22241.1 	22166.8 	18943.4 	21531.8 
B1GQ,CP_MEUR,IT	1611279.4 	1648755.8 	1624358.7 	1612751.3 	1627405.6 	1655355.0 	1695786.8 	1736592.8 	1771391.2 	1796633.8 	1656960.7 	1775436.4 
B1GQ,CP_MEUR,LI	: 	: 	: 	4812.4 	5021.7 	5649.1 	5637.7 	5734.6 	5666.3 	5742.0 p	5362.9 e	: 
B1GQ,CP_MEUR,LT	28033.8 	31317.2 	33410.2 	35039.5 	36581.3 	37345.7 	38889.9 	42276.3 	45514.8 	48859.9 	49507.2 	55383.1 
B1GQ,CP_MEUR,LU	42402.7 	44323.5 	46526.2 	49094.5 	51791.3 	54142.3 	56208.1 	58168.8 	60362.2 	62704.2 	64221.1 	73313.5 
B1GQ,CP_MEUR,LV	17937.5 	19666.0 	22097.5 	22791.3 	23625.8 	24572.1 	25371.3 	26984.4 	29153.6 	30647.2 	29456.8 	32866.5 
B1GQ,CP_MEUR,ME	3125.1 	3264.8 	3181.5 	3362.5 	3457.9 	3654.5 	3954.2 	4299.1 	4663.1 	4950.7 	4185.6 	4911.6 p
B1GQ,CP_MEUR,MK	7108.3 	7544.2 	7584.8 	8149.6 	8562.0 	9072.3 	9656.5 	10038.3 	10744.0 	11262.0 	10635.3 p	11734.0 e
B1GQ,CP_MEUR,MT	6815.8 	6924.6 	7364.5 	7944.3 	8751.1 	9996.7 	10541.1 	11941.0 	12954.8 	14047.1 	13066.0 	14684.8 
B1GQ,CP_MEUR,NL	639187.0 	650359.0 	652966.0 	660463.0 	671560.0 	690008.0 	708337.0 	738146.0 	773987.0 	813055.0 	796530.0 	856356.0 p
B1GQ,CP_MEUR,NO	323760.9 	358339.5 	396523.5 	393408.7 	375947.3 	347632.1 	333471.3 	353316.4 	370294.3 	361734.6 	318051.2 	407533.2 
B1GQ,CP_MEUR,PL	362190.9 	379860.0 	387947.0 	392310.7 	408967.8 	430465.8 	427091.8 	467426.6 	497842.3 	533599.9 	526445.2 	574385.4 
B1GQ,CP_MEUR,PT	179610.8 	176096.2 	168295.6 	170492.3 	173053.7 	179713.2 	186489.8 	195947.2 	205184.1 	214374.6 	200087.6 p	211279.7 p
B1GQ,CP_MEUR,RO	125472.3 	131841.6 	132711.2 	143690.4 	150708.6 	160149.8 	170063.4 	187772.7 	204496.9 	223162.5 	218863.3 p	240154.0 p
B1GQ,CP_MEUR,RS	31545.8 	35431.7 	33679.3 	36426.7 	35467.5 	35740.2 	36779.3 	39235.3 	42892.2 	46005.4 	46796.4 	53317.5 p
B1GQ,CP_MEUR,SE	374695.2 	412844.7 	430037.1 	441850.7 	438833.9 	455494.7 	466266.5 	480025.5 	470673.1 	476869.5 	480556.4 	537830.0 
B1GQ,CP_MEUR,SI	36363.9 	37058.6 	36253.3 	36454.3 	37634.3 	38852.6 	40443.2 	43011.3 	45864.2 	48396.7 	46918.0 	52020.2 
B1GQ,CP_MEUR,SK	68492.1 	71477.1 	73360.8 	74217.3 	76092.7 	79888.1 	81014.3 	84442.9 	89430.0 	94048.0 	92079.3 	97122.5 
B1GQ,CP_MEUR,TR	584855.7 	600961.4 	683587.3 	719726.6 	707000.8 	777042.3 	785618.9 	760497.1 	658544.4 	679132.2 	626576.2 	685765.4 p
B1GQ,CP_MEUR,UK	1872175.5 	1912869.3 	2111028.9 	2096338.0 	2311080.2 	2644716.5 	2434119.2 	2359789.9 	2420897.2 	2526615.2 	: 	: 
B1GQ,CP_MEUR,XK	4031.0 	4555.9 	4797.3 	5071.3 	5325.1 	5674.4 	6037.3 	6356.5 	6671.5 	7056.2 	6771.6 	7816.6 p
